booking_id,ticket_id,booking_date,booking_channel,base_fare,convenience_fee,total_amount,booking_status,pnr_number
BK0000001,TK0000001,2024-04-23,Counter,11190.27,0,11190.27,Confirmed,PNR6926275557
BK0000002,TK0000002,2024-01-21,Agent,11823.79,0,11823.79,Confirmed,PNR3753105464
BK0000003,TK0000003,2023-04-13,Agent,856.25,0,856.25,Confirmed,PNR9365922339
BK0000004,TK0000004,2024-10-30,Agent,620.19,0,620.19,Cancelled,PNR1392188171
BK0000005,TK0000005,2024-01-30,IRCTC,2945.67,13.56,2959.23,Confirmed,PNR3517410921
BK0000006,TK0000006,2024-03-01,IRCTC,5170.47,30.44,5200.91,Confirmed,PNR3621238152
BK0000007,TK0000007,2023-06-02,Agent,84.99,0,84.99,Confirmed,PNR8021653510
BK0000008,TK0000008,2024-04-05,Agent,2762.25,0,2762.25,Confirmed,PNR9925048724
BK0000009,TK0000009,2024-01-04,IRCTC,5900.89,27.84,5928.73,Confirmed,PNR4499499899
BK0000010,TK0000010,2024-04-21,Online,3332.75,15.09,3347.84,Confirmed,PNR8369798875
BK0000011,TK0000011,2023-12-27,Online,2531.14,24.56,2555.7,Confirmed,PNR8343011815
BK0000012,TK0000012,2023-04-12,IRCTC,933.74,34.19,967.93,Confirmed,PNR3906224548
BK0000013,TK0000013,2024-05-10,Online,2083.2,20.81,2104.01,Confirmed,PNR7474363110
BK0000014,TK0000014,2023-01-16,Online,367.6,41.43,409.03,Confirmed,PNR8196476175
BK0000015,TK0000015,2023-03-05,Mobile App,2431.29,47.39,2478.68,Cancelled,PNR8164231746
BK0000016,TK0000016,2023-10-24,IRCTC,3721.91,36.25,3758.16,Cancelled,PNR2326842707
BK0000017,TK0000017,2024-12-24,Agent,155.41,0,155.41,Confirmed,PNR5395542592
BK0000018,TK0000018,2024-05-19,Agent,3435.56,0,3435.56,Confirmed,PNR7605331355
BK0000019,TK0000019,2024-10-20,Agent,1570.14,0,1570.14,Confirmed,PNR1561964694
BK0000020,TK0000020,2024-05-01,Online,1467.81,15.6,1483.41,Cancelled,PNR4930013927
BK0000021,TK0000021,2023-06-30,IRCTC,4779.27,32.9,4812.17,Confirmed,PNR2806467667
BK0000022,TK0000022,2023-06-11,Agent,2019.11,0,2019.11,Confirmed,PNR7259252380
