delay_id,schedule_id,delay_reason,delay_minutes,affected_station_id,reported_date,impact_level,compensation_given,compensation_amount
DLY00001,SCH00222,Technical Fault,185,ST031,2023-12-10,Medium,FALSE,0
DLY00002,SCH00139,Technical Fault,69,ST046,2024-11-09,High,FALSE,0
DLY00003,SCH00597,Track Maintenance,248,ST055,2023-03-23,High,TRUE,1452.72
DLY00004,SCH00627,Technical Fault,278,ST047,2024-06-07,Medium,FALSE,0
DLY00005,SCH00999,Track Maintenance,110,ST030,2024-08-07,High,TRUE,1404.51
DLY00006,SCH00287,Accident,275,ST062,2024-03-29,High,FALSE,0
DLY00007,SCH00381,Technical Fault,272,ST044,2024-03-27,Medium,FALSE,0
DLY00008,SCH00660,Track Maintenance,64,ST040,2024-04-18,High,FALSE,0
DLY00009,SCH00966,Power Failure,163,ST052,2023-02-20,Critical,FALSE,0
DLY00010,SCH00187,Flood/Landslide,60,ST037,2024-03-19,Medium,FALSE,0
DLY00011,SCH00541,Flood/Landslide,31,ST066,2023-12-04,High,TRUE,997.52
DLY00012,SCH00627,Station Overcrowding,260,ST012,2024-10-31,Medium,TRUE,675.44
DLY00013,SCH00686,Power Failure,43,ST066,2024-09-04,Low,TRUE,1462.74
DLY00014,SCH00330,Flood/Landslide,32,ST044,2023-04-01,Medium,FALSE,0
DLY00015,SCH00462,Station Overcrowding,143,ST041,2023-11-19,Low,TRUE,1355.82
DLY00016,SCH00983,Accident,52,ST057,2023-09-09,Medium,TRUE,314.68
DLY00017,SCH00452,Signal Failure,72,ST002,2024-07-22,Medium,TRUE,1626.83
DLY00018,SCH00314,Technical Fault,12,ST009,2024-09-04,Medium,TRUE,375.11
DLY00019,SCH00934,Signal Failure,99,ST012,2024-01-11,Critical,FALSE,0
DLY00020,SCH00715,Congestion,199,ST015,2023-11-25,Medium,FALSE,0
DLY00021,SCH00252,Signal Failure,110,ST066,2024-03-05,Medium,FALSE,0
DLY00022,SCH00795,Station Overcrowding,231,ST022,2024-01-29,Medium,TRUE,1104.16
DLY00023,SCH00053,Technical Fault,83,ST033,2023-11-26,Medium,TRUE,1174.27
DLY00024,SCH00191,Track Maintenance,175,ST064,2023-03-20,High,TRUE,297.72
DLY00025,SCH00269,Station Overcrowding,67,ST027,2024-12-09,Low,FALSE,0
DLY00026,SCH00144,Station Overcrowding,119,ST001,2023-11-29,Low,FALSE,0
DLY00027,SCH00769,Congestion,140,ST069,2023-08-14,Medium,FALSE,0
DLY00028,SCH00116,Accident,5,ST067,2023-04-19,Low,TRUE,422.76
DLY00029,SCH00927,Flood/Landslide,13,ST036,2023-09-28,Medium,FALSE,0
DLY00030,SCH00812,Station Overcrowding,225,ST051,2023-07-23,High,TRUE,481.99
DLY00031,SCH00119,Track Maintenance,207,ST006,2024-11-27,Low,FALSE,0
DLY00032,SCH00407,Accident,222,ST024,2024-05-21,Medium,FALSE,0
DLY00033,SCH00818,Signal Failure,89,ST036,2023-08-05,Medium,FALSE,0
DLY00034,SCH00760,Weather,5,ST056,2024-01-18,Medium,FALSE,0
DLY00035,SCH00014,Flood/Landslide,238,ST067,2023-12-09,High,TRUE,335
DLY00036,SCH00275,Station Overcrowding,183,ST027,2024-06-24,Medium,FALSE,0
DLY00037,SCH00126,Signal Failure,156,ST032,2023-07-26,High,TRUE,235.37
DLY00038,SCH00612,Freight Priority,236,ST058,2024-08-18,Medium,FALSE,0
DLY00039,SCH00141,Track Maintenance,76,ST016,2023-05-20,Medium,TRUE,461.59
DLY00040,SCH00633,Technical Fault,114,ST007,2023-12-14,Low,TRUE,1619.45
DLY00041,SCH00698,Accident,278,ST009,2023-07-28,Medium,TRUE,648.14
DLY00042,SCH00059,Station Overcrowding,195,ST026,2024-01-20,High,TRUE,729.26
DLY00043,SCH00035,Flood/Landslide,133,ST008,2023-09-27,Medium,TRUE,1897.56
DLY00044,SCH00792,Flood/Landslide,29,ST012,2023-08-01,Medium,FALSE,0
DLY00045,SCH00632,Technical Fault,129,ST031,2024-02-19,Medium,FALSE,0
DLY00046,SCH00083,Power Failure,220,ST073,2023-03-16,Medium,TRUE,1120.34
DLY00047,SCH00033,Accident,173,ST015,2023-08-13,High,FALSE,0
DLY00048,SCH00010,Signal Failure,41,ST060,2023-06-18,Low,FALSE,0
DLY00049,SCH00165,Station Overcrowding,228,ST065,2024-08-05,Medium,TRUE,856.85
DLY00050,SCH00481,Flood/Landslide,21,ST070,2023-07-08,Low,TRUE,1457.3
