maintenance_id,train_id,maintenance_type,start_date,end_date,duration_days,cost,technician_employee_id,status,workshop_station_id,notes
MNT00001,TR0009,Engine Overhaul,2023-12-04,2023-12-26,22,9951.84,EMP0141,Completed,ST065,Critical issue found
MNT00002,TR0109,Wheel Replacement,2024-06-06,2024-06-13,7,365305.47,EMP0048,In Progress,ST013,All systems OK
MNT00003,TR0068,Wheel Replacement,2024-08-11,2024-09-04,24,408702.51,EMP0371,In Progress,ST036,Routine check completed
MNT00004,TR0178,Electrical Check,2023-03-15,2023-03-22,7,194584.16,EMP0400,Completed,ST020,All systems OK
MNT00005,TR0162,Pantry Car Cleaning,2023-05-03,2023-05-18,15,193453.46,EMP0104,Completed,ST016,All systems OK
MNT00006,TR0130,Safety Audit,2024-02-14,2024-02-20,6,136353.18,EMP0322,Completed,ST051,Routine check completed
MNT00007,TR0098,Engine Overhaul,2023-11-25,2023-12-24,29,436269.47,EMP0118,Scheduled,ST054,Awaiting spare parts
MNT00008,TR0126,Signaling Equipment,2024-02-02,2024-02-24,22,433594.35,EMP0408,Completed,ST021,All systems OK
MNT00009,TR0162,Brake Inspection,2024-10-04,2024-10-13,9,368683.5,EMP0090,Scheduled,ST008,All systems OK
MNT00010,TR0009,Wheel Replacement,2024-07-07,2024-07-25,18,26925.15,EMP0052,Completed,ST048,All systems OK
MNT00011,TR0022,Safety Audit,2024-11-01,2024-11-30,29,311172.44,EMP0180,Completed,ST013,Awaiting spare parts
MNT00012,TR0001,Safety Audit,2023-02-10,2023-03-08,26,24993.73,EMP0432,Cancelled,ST039,Awaiting spare parts
MNT00013,TR0090,Safety Audit,2024-12-04,2024-12-22,18,265703.71,EMP0392,In Progress,ST075,All systems OK
MNT00014,TR0098,Engine Overhaul,2024-02-09,2024-02-22,13,122689.62,EMP0074,Completed,ST003,Awaiting spare parts
MNT00015,TR0001,Brake Inspection,2023-05-10,2023-05-17,7,344039.24,EMP0027,Completed,ST039,Routine check completed
MNT00016,TR0100,Brake Inspection,2024-03-05,2024-03-28,23,36473.9,EMP0241,Completed,ST067,Routine check completed
MNT00017,TR0132,Brake Inspection,2024-06-04,2024-07-01,27,142201.18,EMP0386,Completed,ST065,All systems OK
MNT00018,TR0158,Scheduled Service,2023-08-28,2023-09-09,12,274960.08,EMP0088,Completed,ST067,Critical issue found
MNT00019,TR0070,Engine Overhaul,2023-03-10,2023-04-06,27,447633.31,EMP0263,In Progress,ST063,Parts replaced
MNT00020,TR0038,Electrical Check,2024-09-26,2024-10-24,28,262738.52,EMP0358,Scheduled,ST052,Critical issue found
MNT00021,TR0106,Signaling Equipment,2023-05-28,2023-06-10,13,257676.16,EMP0064,Completed,ST006,All systems OK
MNT00022,TR0121,Electrical Check,2024-08-13,2024-08-23,10,49847.59,EMP0355,Completed,ST045,Awaiting spare parts
MNT00023,TR0196,Electrical Check,2023-06-05,2023-06-18,13,266861.8,EMP0157,Deferred,ST032,Critical issue found
MNT00024,TR0164,Pantry Car Cleaning,2024-06-19,2024-07-18,29,118502.38,EMP0044,Completed,ST053,All systems OK
MNT00025,TR0190,Brake Inspection,2023-08-11,2023-08-13,2,132163.55,EMP0464,Completed,ST007,Routine check completed
MNT00026,TR0020,Scheduled Service,2024-07-05,2024-07-23,18,478334.36,EMP0417,Completed,ST062,Critical issue found
MNT00027,TR0003,Interior Refurbishment,2024-07-11,2024-07-29,18,302453.27,EMP0191,Completed,ST051,All systems OK
MNT00028,TR0053,Brake Inspection,2024-02-29,2024-03-17,17,19128.09,EMP0156,Completed,ST063,Routine check completed
MNT00029,TR0196,Safety Audit,2024-11-19,2024-11-20,1,373413.9,EMP0382,Scheduled,ST019,Routine check completed
MNT00030,TR0121,Interior Refurbishment,2024-12-04,2024-12-16,12,104110.05,EMP0424,Completed,ST039,Awaiting spare parts
MNT00031,TR0132,Interior Refurbishment,2023-03-25,2023-04-12,18,66960.83,EMP0147,In Progress,ST040,All systems OK
MNT00032,TR0055,Scheduled Service,2023-12-28,2024-01-10,13,268215.81,EMP0078,Completed,ST052,Critical issue found
MNT00033,TR0015,Engine Overhaul,2024-10-16,2024-10-22,6,433667.44,EMP0189,Completed,ST065,Parts replaced
MNT00034,TR0189,Engine Overhaul,2023-09-15,2023-09-20,5,406028.02,EMP0019,Completed,ST018,Routine check completed
MNT00035,TR0162,Interior Refurbishment,2024-05-27,2024-06-12,16,206033.92,EMP0381,Scheduled,ST010,All systems OK
MNT00036,TR0036,Safety Audit,2024-01-03,2024-01-11,8,74136.76,EMP0413,In Progress,ST019,Parts replaced
MNT00037,TR0059,Scheduled Service,2024-01-24,2024-02-23,30,39947.32,EMP0159,Deferred,ST019,All systems OK
MNT00038,TR0078,AC Servicing,2024-10-17,2024-10-23,6,366036.21,EMP0254,In Progress,ST020,Parts replaced
MNT00039,TR0197,Interior Refurbishment,2024-09-28,2024-10-03,5,447643.05,EMP0077,In Progress,ST011,Critical issue found
MNT00040,TR0028,Engine Overhaul,2023-09-13,2023-10-03,20,32792.51,EMP0364,In Progress,ST030,Awaiting spare parts
MNT00041,TR0047,AC Servicing,2024-04-03,2024-04-29,26,172474.09,EMP0350,Completed,ST026,Awaiting spare parts
MNT00042,TR0172,Engine Overhaul,2024-09-16,2024-10-07,21,450494.39,EMP0339,Completed,ST047,All systems OK
MNT00043,TR0106,Engine Overhaul,2023-08-22,2023-09-03,12,368564.6,EMP0446,Completed,ST021,All systems OK
MNT00044,TR0087,Safety Audit,2023-08-27,2023-09-12,16,453739.97,EMP0289,Cancelled,ST044,Routine check completed
MNT00045,TR0047,Signaling Equipment,2023-02-01,2023-02-20,19,335053.24,EMP0067,Completed,ST023,Critical issue found
MNT00046,TR0170,AC Servicing,2023-11-26,2023-12-23,27,283958.29,EMP0279,Completed,ST027,Parts replaced
MNT00047,TR0159,Signaling Equipment,2023-12-11,2023-12-13,2,199525.65,EMP0057,Scheduled,ST044,Parts replaced
MNT00048,TR0089,Scheduled Service,2024-09-27,2024-10-07,10,162218.24,EMP0124,Completed,ST018,Awaiting spare parts
MNT00049,TR0141,Pantry Car Cleaning,2023-05-13,2023-05-16,3,168291.4,EMP0321,Deferred,ST010,Parts replaced
MNT00050,TR0112,Electrical Check,2024-02-16,2024-02-24,8,323559.88,EMP0062,In Progress,ST035,Routine check completed
MNT00051,TR0029,Brake Inspection,2023-12-04,2023-12-29,25,109413.15,EMP0432,Scheduled,ST054,All systems OK
MNT00052,TR0034,Electrical Check,2024-11-19,2024-11-28,9,337207.97,EMP0467,Completed,ST051,Routine check completed
MNT00053,TR0142,Interior Refurbishment,2024-11-02,2024-11-30,28,179919,EMP0066,Completed,ST044,Parts replaced
MNT00054,TR0116,Brake Inspection,2023-09-10,2023-09-19,9,74949.66,EMP0455,Completed,ST013,Routine check completed
MNT00055,TR0087,Signaling Equipment,2023-07-22,2023-08-13,22,360614.99,EMP0252,Completed,ST029,Parts replaced
MNT00056,TR0004,Safety Audit,2024-12-22,2025-01-19,28,396298.1,EMP0354,Completed,ST053,Awaiting spare parts
MNT00057,TR0127,Wheel Replacement,2023-07-28,2023-08-10,13,146073.51,EMP0091,Completed,ST013,Critical issue found
MNT00058,TR0159,Electrical Check,2023-09-26,2023-10-19,23,313633.78,EMP0471,Completed,ST037,All systems OK
MNT00059,TR0076,Safety Audit,2023-10-09,2023-10-19,10,409190.35,EMP0457,Completed,ST059,Routine check completed
MNT00060,TR0047,Safety Audit,2024-01-30,2024-02-12,13,275446.12,EMP0200,Completed,ST015,Parts replaced
MNT00061,TR0026,Interior Refurbishment,2023-02-13,2023-03-11,26,345137.64,EMP0232,In Progress,ST057,All systems OK
MNT00062,TR0104,AC Servicing,2024-10-02,2024-10-03,1,253340.3,EMP0390,Completed,ST049,Parts replaced
MNT00063,TR0186,Electrical Check,2023-10-05,2023-10-31,26,415473.32,EMP0110,Scheduled,ST016,Routine check completed
MNT00064,TR0053,Safety Audit,2023-11-08,2023-11-30,22,241493.72,EMP0118,Scheduled,ST066,Routine check completed
