ticket_id,schedule_id,passenger_id,class,route_id,fare,booking_date,seat_number,coach_number,ticket_status,concession_type
TK0000001,SCH00201,PAS003257,First Class,RT0047,11190.27,2024-04-23,A48,C13,Confirmed,Senior Citizen
TK0000002,SCH00951,PAS001027,First Class,RT0022,11823.79,2024-01-21,D27,C14,Confirmed,
TK0000003,SCH00030,PAS004004,Chair Car,RT0147,856.25,2023-04-13,B29,C11,Confirmed,
TK0000004,SCH00718,PAS000205,General,RT0064,620.19,2024-10-30,B1,C01,Confirmed,
TK0000005,SCH00651,PAS004300,AC 3 Tier,RT0046,2945.67,2024-01-30,B37,C02,Confirmed,Differently Abled
TK0000006,SCH00303,PAS000570,Vistadome,RT0099,5170.47,2024-03-01,C14,C02,Confirmed,
TK0000007,SCH00304,PAS001216,General,RT0061,84.99,2023-06-02,D9,C07,Confirmed,Differently Abled
TK0000008,SCH00392,PAS002066,AC 2 Tier,RT0122,2762.25,2024-04-05,D4,C13,Confirmed,
TK0000009,SCH00660,PAS001941,First Class,RT0117,5900.89,2024-01-04,E11,C03,Confirmed,
TK0000010,SCH00041,PAS000492,First Class,RT0042,3332.75,2024-04-21,A33,C09,Confirmed,Student
TK0000011,SCH00852,PAS004367,Chair Car,RT0012,2531.14,2023-12-27,A30,C02,Waitlisted,Student
TK0000012,SCH00278,PAS003809,Chair Car,RT0110,933.74,2023-04-12,E41,C12,Confirmed,
TK0000013,SCH00607,PAS000175,AC 3 Tier,RT0058,2083.2,2024-05-10,D56,C11,Confirmed,Student
TK0000014,SCH00944,PAS002290,Vistadome,RT0126,367.6,2023-01-16,A54,C01,Waitlisted,Student
TK0000015,SCH00734,PAS004784,Vistadome,RT0056,2431.29,2023-03-05,D34,C10,Confirmed,Student
TK0000016,SCH00323,PAS001330,AC 3 Tier,RT0012,3721.91,2023-10-24,C21,C07,Confirmed,Military
TK0000017,SCH00026,PAS002161,General,RT0140,155.41,2024-12-24,D55,C02,Confirmed,
TK0000018,SCH00976,PAS003839,AC 2 Tier,RT0087,3435.56,2024-05-19,C13,C20,Confirmed,
TK0000019,SCH00729,PAS000733,First Class,RT0054,1570.14,2024-10-20,C6,C04,Confirmed,Student
